OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
339,Power Station,200 Victoria Street Power Station,Non Renewable,,Cogent Energy,200 Victoria Street,Carleton,3053,VICTORIA,Operational,Compression Reciprocating Engine,Natural Gas,,0.4,1,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5,<Null>,,,11/09/2012,,
340,Power Station,Eildon Small Hydro Power Station,Renewable,,Pacific Hydro Investments Pty Ltd,Back Eildon Road,Eildon,3713,VICTORIA,Operational,Hydroelectric (Gravity),Water,,4.5,1,1/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
341,Power Station,Corio Power Station,Renewable,,EDL LFG Vic Pty Ltd,Bell Road,Corio,3214,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
342,Power Station,South East Water Hallam Plant Power Station,Renewable,South East Water,South East Water,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.25,1,1/01/2006,casey_2006mar03_air_vis_15cm_mga55,31/07/2012,AEMO Generator List,1,1,"Location unknown, point placed in middle of Hallam",,,11/09/2012,,
343,Power Station,Lower Rubicon Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,Rubicon Road,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,2.7,1,1/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
344,Power Station,Royston Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.9,1,1/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
345,Power Station,Rubicon Falls Power Station,Renewable,AGL Energy Pty Ltd,AGL Energy Pty Ltd,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.3,1,1/01/2007,murrindindi_2007jan26_air_vis_50cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
346,Power Station,Leonards Hill Power Station,Renewable,,Hepburn Community Wind Park Co-operative Ltd,Ballan-Daylesford Road,Leonards Hill,3461,VICTORIA,Operational,Wind Turbine,Wind,,4.1,2,1/01/2008,mt-alexander-hepburn_2008dec21_air_vis_35cm_mga55,31/07/2012,AEMO Generator List,1,5,,,,11/09/2012,,
423,Power Station,Macarthur Wind Farm,Renewable,,AGL Energy Pty Ltd,,Macarthur,3286,VICTORIA,Under Construction,Wind Turbine,Wind,,420,140,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,31/07/2012,AEMO Generator List,,5,Under construction - completion 2011,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\,,11/09/2012,,
434,Power Station,Tulla Calder Interchange Solar Array,Renewable,Tullamarine Calder Alliance,Tullamarine Calder Alliance,Tullamarine Calder Interchange,Niddrie,,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.24,210,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,21/08/2012,Clean Energy Council Website,1,5,Solar panels mounted on top of sound barrier wall.  500m in length.,,,5/11/2012,,
435,Power Station,Bridgewater Solar Power Station,Renewable,Silex Systems,Silex Systems,,Bridgewater,,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.14,,1/01/2007,woodvale_2007jun08_air_vis_15cm_mga55,21/08/2012,Clean Energy Council Website,1,5,,,,5/11/2012,,
436,Power Station,Monash University Clayton Campus Solar Array,Renewable,Monash University,Monash University,,,,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.18,420,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,21/08/2012,Clean Energy Council Website,1,3,Panels are on the Campus Centre building,,,5/11/2012,,
437,Power Station,Queen Victoria Market Solar Array,Renewable,Queen Victoria Market,Melbourne City Council,Victoria Street,West Melbourne,,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.25,1328,1/01/2009,melbourne_2009jan03_air_vis_35cm_mga55,5/11/2012,Queen Victoria Market Website,1,5,,,,5/11/2012,,
438,Power Station,Bendigo Solar Park,Renewable,Central Victoria Solar City Consortium,Central Victoria Solar City Consortium,,Bendigo,,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.3,,1/01/2008,bendigo_2008jan06_air_vis_15cm_mga55,21/08/2012,Clean Energy Council Website,1,5,,,,5/11/2012,,
466,Power Station,Mildura Solar Farm,Renewable,Silex Systems ,Silex Systems ,Carwarp South West Road,Carwarp,,VICTORIA,Operational,Solar Photovoltaic,Solar,Concentrated Photovoltaic (CPV),1.5,40,1/01/2011,,1/04/2013,Silex Systems Website,2,4,,,,23/04/2014,,
491,Power Station,Ballarat Solar Park,Renewable,Central Victoria Solar City Consortium,Central Victoria Solar City Consortium,Airport Access Road,Mitchell Park,3355,VICTORIA,Operational,Solar Photovoltaic,Solar,Photovoltaic,0.3,2000,1/01/2003,Glenelg_HopkinsCMA_125cm_2003,26/09/2013,Clean Energy Council Website,,5,"Solar Park is at Ballarat Airport, visible Google Earth image 7 November 2011",,,1/07/2014,,<Null>
